ATT&CK ID,ATT&CK Enterprise Mitigation,Related D3FEND Techniques,Comment
M1025,[Privileged Process Integrity](https://attack.mitre.org/mitigations/M1025/),"D3-BA [Bootloader Authentication](https://d3fend.mitre.org/technique/d3f:BootloaderAuthentication ""Cryptographically authenticating the bootloader software before system boot."")<br><br>D3-DLIC [Driver Load Integrity Checking](https://d3fend.mitre.org/technique/d3f:DriverLoadIntegrityChecking ""Ensuring the integrity of drivers loaded during initialization of the operating system."")<br><br>D3-PSEP [Process Segment Execution Prevention](https://d3fend.mitre.org/technique/d3f:ProcessSegmentExecutionPrevention ""Preventing execution of any address in a memory region other than the code segment."")<br><br>D3-SCF [System Call Filtering](https://d3fend.mitre.org/technique/d3f:SystemCallFiltering ""Controlling access to local computer system resources with kernel-level capabilities."")",
M1026,[Privileged Account Management](https://attack.mitre.org/mitigations/M1026/),"D3-DAM [Domain Account Monitoring](https://d3fend.mitre.org/technique/d3f:DomainAccountMonitoring ""Monitoring the existence of or changes to Domain User Accounts."")<br><br>D3-LAM [Local Account Monitoring](https://d3fend.mitre.org/technique/d3f:LocalAccountMonitoring ""Analyzing local user accounts to detect unauthorized activity."")<br><br>D3-SPP [Strong Password Policy](https://d3fend.mitre.org/technique/d3f:StrongPasswordPolicy ""Modifying system configuration to increase password strength."")",
M1027,[Password Policies](https://attack.mitre.org/mitigations/M1027/),"D3-OTP [One-time Password](https://d3fend.mitre.org/technique/d3f:One-timePassword ""A one-time password is valid for only one user authentication."")<br><br>D3-SPP [Strong Password Policy](https://d3fend.mitre.org/technique/d3f:StrongPasswordPolicy ""Modifying system configuration to increase password strength."")",
M1028,[Operating System Configuration](https://attack.mitre.org/mitigations/M1028/),"D3-PH [Platform Hardening](https://d3fend.mitre.org/technique/d3f:PlatformHardening ""Hardening components of a Platform with the intention of making them more difficult to exploit.<br>Platforms includes components such as:<br>* BIOS UEFI Subsystems<br>* Hardware security devices such as Trusted Platform Modules<br>* Boot process logic or code<br>* Kernel software components"")",
M1029,[Remote Data Storage](https://attack.mitre.org/mitigations/M1029/),,IT disaster recovery plans are outside the current scope of D3FEND.
M1030,[Network Segmentation](https://attack.mitre.org/mitigations/M1030/),"D3-BDI [Broadcast Domain Isolation](https://d3fend.mitre.org/technique/d3f:BroadcastDomainIsolation ""Broadcast isolation restricts the number of computers a host can contact on their LAN."")<br><br>D3-ET [Encrypted Tunnels](https://d3fend.mitre.org/technique/d3f:EncryptedTunnels ""Encrypted encapsulation of routable network traffic."")<br><br>D3-ISVA [Inbound Session Volume Analysis](https://d3fend.mitre.org/technique/d3f:InboundSessionVolumeAnalysis ""Analyzing inbound network session or connection attempt volume."")<br><br>D3-ITF [Inbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:InboundTrafficFiltering ""Restricting network traffic originating from untrusted networks destined towards a private host or enclave."")",
M1031,[Network Intrusion Prevention](https://attack.mitre.org/mitigations/M1031/),"D3-ITF [Inbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:InboundTrafficFiltering ""Restricting network traffic originating from untrusted networks destined towards a private host or enclave."")<br><br>D3-NTA [Network Traffic Analysis](https://d3fend.mitre.org/technique/d3f:NetworkTrafficAnalysis ""Analyzing intercepted or summarized computer network traffic to detect unauthorized activity."")<br><br>D3-OTF [Outbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:OutboundTrafficFiltering ""Restricting network traffic originating from a private host or enclave destined towards untrusted networks."")",
M1032,[Multi-factor Authentication](https://attack.mitre.org/mitigations/M1032/),"D3-MFA [Multi-factor Authentication](https://d3fend.mitre.org/technique/d3f:Multi-factorAuthentication ""Requiring proof of two or more pieces of evidence in order to authenticate a user."")",
M1033,[Limit Software Installation](https://attack.mitre.org/mitigations/M1033/),"D3-EAL [Executable Allowlisting](https://d3fend.mitre.org/technique/d3f:ExecutableAllowlisting ""Using a digital signature to authenticate a file before opening."")<br><br>D3-EDL [Executable Denylisting](https://d3fend.mitre.org/technique/d3f:ExecutableDenylisting ""Blocking the execution of files on a host in accordance with defined application policy rules."")",
M1034,[Limit Hardware Installation](https://attack.mitre.org/mitigations/M1034/),"D3-IOPR [IO Port Restriction](https://d3fend.mitre.org/technique/d3f:IOPortRestriction ""Limiting access to computer input/output (IO) ports to restrict unauthorized devices."")",
M1035,[Limit Access to Resource Over Network](https://attack.mitre.org/mitigations/M1035/),"D3-NI [Network Isolation](https://d3fend.mitre.org/technique/d3f:NetworkIsolation ""Network Isolation techniques prevent network hosts from accessing non-essential system network resources."")",
M1036,[Account Use Policies](https://attack.mitre.org/mitigations/M1036/),"D3-AL [Account Locking](https://d3fend.mitre.org/technique/d3f:AccountLocking ""The process of temporarily disabling user accounts on a system or domain."")<br><br>D3-ANCI [Authentication Cache Invalidation](https://d3fend.mitre.org/technique/d3f:AuthenticationCacheInvalidation ""Removing tokens or credentials from an authentication cache to prevent further user associated account accesses."")<br><br>D3-ANET [Authentication Event Thresholding](https://d3fend.mitre.org/technique/d3f:AuthenticationEventThresholding ""Collecting authentication events, creating a baseline user profile, and determining whether authentication events are consistent with the baseline profile."")",D3-AZET may be related (is potentially related though not called out in ATT&CK definition.)
M1037,[Filter Network Traffic](https://attack.mitre.org/mitigations/M1037/),"D3-NI [Network Isolation](https://d3fend.mitre.org/technique/d3f:NetworkIsolation ""Network Isolation techniques prevent network hosts from accessing non-essential system network resources."")",
M1038,[Execution Prevention](https://attack.mitre.org/mitigations/M1038/),"D3-DLIC [Driver Load Integrity Checking](https://d3fend.mitre.org/technique/d3f:DriverLoadIntegrityChecking ""Ensuring the integrity of drivers loaded during initialization of the operating system."")<br><br>D3-EAL [Executable Allowlisting](https://d3fend.mitre.org/technique/d3f:ExecutableAllowlisting ""Using a digital signature to authenticate a file before opening."")<br><br>D3-EDL [Executable Denylisting](https://d3fend.mitre.org/technique/d3f:ExecutableDenylisting ""Blocking the execution of files on a host in accordance with defined application policy rules."")<br><br>D3-PSEP [Process Segment Execution Prevention](https://d3fend.mitre.org/technique/d3f:ProcessSegmentExecutionPrevention ""Preventing execution of any address in a memory region other than the code segment."")",
M1039,[Environment Variable Permissions](https://attack.mitre.org/mitigations/M1039/),"D3-ACH [Application Configuration Hardening](https://d3fend.mitre.org/technique/d3f:ApplicationConfigurationHardening ""Modifying an application's configuration to reduce its attack surface."")<br><br>D3-SFA [System File Analysis](https://d3fend.mitre.org/technique/d3f:SystemFileAnalysis ""Monitoring system files such as authentication databases, configuration files, system logs, and system executables for modification or tampering."")",
M1040,[Behavior Prevention on Endpoint](https://attack.mitre.org/mitigations/M1040/),"D3-ANET [Authentication Event Thresholding](https://d3fend.mitre.org/technique/d3f:AuthenticationEventThresholding ""Collecting authentication events, creating a baseline user profile, and determining whether authentication events are consistent with the baseline profile."")<br><br>D3-AZET [Authorization Event Thresholding](https://d3fend.mitre.org/technique/d3f:AuthorizationEventThresholding ""Collecting authorization events, creating a baseline user profile, and determining whether authorization events are consistent with the baseline profile."")<br><br>D3-JFAPA [Job Function Access Pattern Analysis](https://d3fend.mitre.org/technique/d3f:JobFunctionAccessPatternAnalysis ""Detecting anomalies in user access patterns by comparing user access activity to behavioral profiles that categorize users by role such as job title, function, department."")<br><br>D3-RAPA [Resource Access Pattern Analysis](https://d3fend.mitre.org/technique/d3f:ResourceAccessPatternAnalysis ""Analyzing the resources accessed by a user to identify unauthorized activity."")<br><br>D3-SDA [Session Duration Analysis](https://d3fend.mitre.org/technique/d3f:SessionDurationAnalysis ""Analyzing the duration of user sessions in order to detect unauthorized  activity."")<br><br>D3-UDTA [User Data Transfer Analysis](https://d3fend.mitre.org/technique/d3f:UserDataTransferAnalysis ""Analyzing the amount of data transferred by a user."")<br><br>D3-UGLPA [User Geolocation Logon Pattern Analysis](https://d3fend.mitre.org/technique/d3f:UserGeolocationLogonPatternAnalysis ""Monitoring geolocation data of user logon attempts and comparing it to a baseline user behavior profile to identify anomalies in logon location."")<br><br>D3-WSAA [Web Session Activity Analysis](https://d3fend.mitre.org/technique/d3f:WebSessionActivityAnalysis ""Monitoring changes in user web session behavior by comparing current web session activity to a baseline behavior profile or a catalog of predetermined malicious behavior."")",
M1041,[Encrypt Sensitive Information](https://attack.mitre.org/mitigations/M1041/),"D3-DENCR [Disk Encryption](https://d3fend.mitre.org/technique/d3f:DiskEncryption ""Encrypting a hard disk partition to prevent cleartext access to a file system."")<br><br>D3-ET [Encrypted Tunnels](https://d3fend.mitre.org/technique/d3f:EncryptedTunnels ""Encrypted encapsulation of routable network traffic."")<br><br>D3-FE [File Encryption](https://d3fend.mitre.org/technique/d3f:FileEncryption ""Encrypting a file using a cryptographic key."")<br><br>D3-MENCR [Message Encryption](https://d3fend.mitre.org/technique/d3f:MessageEncryption ""Encrypting a message body using a cryptographic key."")",
M1042,[Disable or Remove Feature or Program](https://attack.mitre.org/mitigations/M1042/),"D3-ACH [Application Configuration Hardening](https://d3fend.mitre.org/technique/d3f:ApplicationConfigurationHardening ""Modifying an application's configuration to reduce its attack surface."")<br><br>D3-EDL [Executable Denylisting](https://d3fend.mitre.org/technique/d3f:ExecutableDenylisting ""Blocking the execution of files on a host in accordance with defined application policy rules."")<br><br>D3-SCF [System Call Filtering](https://d3fend.mitre.org/technique/d3f:SystemCallFiltering ""Controlling access to local computer system resources with kernel-level capabilities."")",
M1043,[Credential Access Protection](https://attack.mitre.org/mitigations/M1043/),"D3-HBPI [Hardware-based Process Isolation](https://d3fend.mitre.org/technique/d3f:Hardware-basedProcessIsolation ""Preventing one process from writing to the memory space of another process through hardware based address manager implementations."")",
M1044,[Restrict Library Loading](https://attack.mitre.org/mitigations/M1044/),"D3-SCF [System Call Filtering](https://d3fend.mitre.org/technique/d3f:SystemCallFiltering ""Controlling access to local computer system resources with kernel-level capabilities."")",D3-SCF is one possible way to filter library loading.
M1045,[Code Signing](https://attack.mitre.org/mitigations/M1045/),"D3-DLIC [Driver Load Integrity Checking](https://d3fend.mitre.org/technique/d3f:DriverLoadIntegrityChecking ""Ensuring the integrity of drivers loaded during initialization of the operating system."")<br><br>D3-EAL [Executable Allowlisting](https://d3fend.mitre.org/technique/d3f:ExecutableAllowlisting ""Using a digital signature to authenticate a file before opening."")<br><br>D3-SBV [Service Binary Verification](https://d3fend.mitre.org/technique/d3f:ServiceBinaryVerification ""Analyzing changes in service binary files by comparing to a source of truth."")",
M1046,[Boot Integrity](https://attack.mitre.org/mitigations/M1046/),"D3-BA [Bootloader Authentication](https://d3fend.mitre.org/technique/d3f:BootloaderAuthentication ""Cryptographically authenticating the bootloader software before system boot."")<br><br>D3-TBI [TPM Boot Integrity](https://d3fend.mitre.org/technique/d3f:TPMBootIntegrity ""Assuring the integrity of a platform by demonstrating that the boot process starts from a trusted combination of hardware and software and continues until the operating system has fully booted and applications are running.  Sometimes called Static Root of Trust Measurement (STRM)."")",
M1047,[Audit](https://attack.mitre.org/mitigations/M1047/),"D3-DAM [Domain Account Monitoring](https://d3fend.mitre.org/technique/d3f:DomainAccountMonitoring ""Monitoring the existence of or changes to Domain User Accounts."")<br><br>D3-LAM [Local Account Monitoring](https://d3fend.mitre.org/technique/d3f:LocalAccountMonitoring ""Analyzing local user accounts to detect unauthorized activity."")<br><br>D3-SFA [System File Analysis](https://d3fend.mitre.org/technique/d3f:SystemFileAnalysis ""Monitoring system files such as authentication databases, configuration files, system logs, and system executables for modification or tampering."")","M1047 scope is broad, touches on an wide variety of techniques in d3fend."
M1048,[Application Isolation and Sandboxing](https://attack.mitre.org/mitigations/M1048/),"D3-DA [Dynamic Analysis](https://d3fend.mitre.org/technique/d3f:DynamicAnalysis ""Executing or opening a file in a synthetic ""sandbox"" environment to determine if the file is a malicious program or if the file exploits another program such as a document reader."")<br><br>D3-HBPI [Hardware-based Process Isolation](https://d3fend.mitre.org/technique/d3f:Hardware-basedProcessIsolation ""Preventing one process from writing to the memory space of another process through hardware based address manager implementations."")<br><br>D3-SCF [System Call Filtering](https://d3fend.mitre.org/technique/d3f:SystemCallFiltering ""Controlling access to local computer system resources with kernel-level capabilities."")","""Sandboxing"" is often used to describe a detection environment which includes some forms of analysis (see D3-DA.)"" Many forms of isolation (e.g., quarantining) are more static in nature and simply limit software's access to system resources."
M1049,[Antivirus/Antimalware](https://attack.mitre.org/mitigations/M1049/),"D3-FCR [File Content Rules](https://d3fend.mitre.org/technique/d3f:FileContentRules ""Employing a pattern matching rule language to analyze the content of files."")<br><br>D3-FH [File Hashing](https://d3fend.mitre.org/technique/d3f:FileHashing ""Employing file hash comparisons to detect known malware."")<br><br>D3-PA [Process Analysis](https://d3fend.mitre.org/technique/d3f:ProcessAnalysis ""Process Analysis consists of observing a running application process and analyzing it to watch for certain behaviors or conditions which may indicate adversary activity. Analysis can occur inside of the process or through a third-party monitoring application. Examples include monitoring system and privileged calls, monitoring process initiation chains, and memory boundary allocations."")",Process Analysis and subclasses.
M1050,[Exploit Protection](https://attack.mitre.org/mitigations/M1050/),"D3-AH [Application Hardening](https://d3fend.mitre.org/technique/d3f:ApplicationHardening ""Application Hardening makes an executable application more resilient to a class of exploits which either introduce new code or execute unwanted existing code. These techniques may be applied at compile-time or on an application binary."")<br><br>D3-EHPV [Exception Handler Pointer Validation](https://d3fend.mitre.org/technique/d3f:ExceptionHandlerPointerValidation ""Validates that a referenced exception handler pointer is a valid exception handler."")<br><br>D3-ITF [Inbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:InboundTrafficFiltering ""Restricting network traffic originating from untrusted networks destined towards a private host or enclave."")<br><br>D3-SSC [Shadow Stack Comparisons](https://d3fend.mitre.org/technique/d3f:ShadowStackComparisons ""Comparing a call stack in system memory with a shadow call stack maintained by the processor to determine unauthorized shellcode activity."")",
M1051,[Update Software](https://attack.mitre.org/mitigations/M1051/),"D3-SU [Software Update](https://d3fend.mitre.org/technique/d3f:SoftwareUpdate ""Replacing old software on a computer system component."")",
M1052,[User Account Control](https://attack.mitre.org/mitigations/M1052/),"D3-SCF [System Call Filtering](https://d3fend.mitre.org/technique/d3f:SystemCallFiltering ""Controlling access to local computer system resources with kernel-level capabilities."")",
M1053,[Data Backup](https://attack.mitre.org/mitigations/M1053/),,Comprehensive IT disaster recovery plans are outside the current scope of D3FEND.
M1054,[Software Configuration](https://attack.mitre.org/mitigations/M1054/),"D3-ACH [Application Configuration Hardening](https://d3fend.mitre.org/technique/d3f:ApplicationConfigurationHardening ""Modifying an application's configuration to reduce its attack surface."")<br><br>D3-CP [Certificate Pinning](https://d3fend.mitre.org/technique/d3f:CertificatePinning ""Persisting either a server's X.509 certificate or their public key and comparing that to server's presented identity to allow for greater client confidence in the remote server's identity for SSL connections."")",
M1055,[Do Not Mitigate](https://attack.mitre.org/mitigations/M1055/),,
M1056,[Pre-compromise](https://attack.mitre.org/mitigations/M1056/),"D3-DE [Decoy Environment](https://d3fend.mitre.org/technique/d3f:DecoyEnvironment ""A Decoy Environment comprises hosts and networks for the purposes of deceiving an attacker."")<br><br>D3-DO [Decoy Object](https://d3fend.mitre.org/technique/d3f:DecoyObject ""A Decoy Object is created and deployed for the purposes of deceiving attackers."")",
